"JobName","Result","DataSize(GB)","BackupSize(GB)","DedupRatio","CompressRatio","Date"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/24/2019 2:00:12 PM"
"VMware - Linux VMs","Success","0.02","0.03","1x","0.8x","11/24/2019 3:00:02 PM"
"VMware - Linux VMs","Success","0.02","0.03","1x","0.7x","11/24/2019 4:00:15 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/24/2019 5:00:05 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.5x","11/24/2019 6:00:18 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/24/2019 7:00:09 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.5x","11/24/2019 8:00:22 PM"
"VMware - Linux VMs","Success","0.02","0.03","1x","0.6x","11/24/2019 9:00:12 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/24/2019 10:00:02 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/24/2019 11:00:15 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/25/2019 12:00:05 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.5x","11/25/2019 1:00:18 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.5x","11/25/2019 2:00:09 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.3x","11/25/2019 3:00:01 AM"
"VMware - Linux VMs","Success","0.05","0.04","1x","1.3x","11/25/2019 4:00:14 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/25/2019 5:00:03 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/25/2019 6:00:15 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/25/2019 7:00:04 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.3x","11/25/2019 8:00:16 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.6x","11/25/2019 9:00:05 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.3x","11/25/2019 10:00:18 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/25/2019 11:00:08 AM"
"VMware - Linux VMs","Success","0.01","0.03","1x","0.6x","11/25/2019 12:00:22 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.5x","11/25/2019 1:00:16 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.5x","11/25/2019 2:00:10 PM"
"VMware - Linux VMs","Success","0.02","0.03","1x","0.8x","11/25/2019 3:00:09 PM"
"VMware - Linux VMs","Success","0.02","0.03","1x","0.8x","11/25/2019 4:00:17 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.3x","11/25/2019 5:00:03 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.5x","11/25/2019 6:00:21 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/25/2019 7:00:17 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.5x","11/25/2019 8:00:13 PM"
"VMware - Linux VMs","Success","0.02","0.03","1x","0.6x","11/25/2019 9:00:12 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/25/2019 10:00:11 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/25/2019 11:00:10 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/26/2019 12:00:07 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.5x","11/26/2019 1:00:04 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.5x","11/26/2019 2:00:00 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.3x","11/26/2019 3:00:23 AM"
"VMware - Linux VMs","Success","0.03","0.03","1x","1x","11/26/2019 4:00:20 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.5x","11/26/2019 5:00:16 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/26/2019 6:00:12 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/26/2019 7:00:10 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/26/2019 8:00:09 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/26/2019 9:00:09 AM"
"VMware - Linux VMs","Success","0.01","0.03","1x","0.6x","11/26/2019 10:00:11 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/26/2019 11:00:11 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/26/2019 12:00:13 PM"
"VMware - Linux VMs","Success","0.02","0.03","1x","0.7x","11/26/2019 1:00:21 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/26/2019 2:00:08 PM"
"VMware - Linux VMs","Success","0.02","0.03","1x","0.8x","11/26/2019 3:00:15 PM"
"VMware - Linux VMs","Success","0.02","0.03","1x","0.7x","11/26/2019 4:00:01 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/26/2019 5:00:13 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/26/2019 6:00:20 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/26/2019 7:00:04 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.5x","11/26/2019 8:00:09 PM"
"VMware - Linux VMs","Success","0.02","0.03","1x","0.6x","11/26/2019 9:00:11 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/26/2019 10:00:11 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/26/2019 11:00:14 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/27/2019 12:00:18 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/27/2019 1:00:20 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.5x","11/27/2019 2:00:01 AM"
"VMware - Linux VMs","Success","0","0.02","1x","0.2x","11/27/2019 3:00:10 AM"
"VMware - Linux VMs","Success","0.05","0.04","1x","1.3x","11/27/2019 4:00:12 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.5x","11/27/2019 5:00:14 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/27/2019 6:00:19 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/27/2019 7:00:21 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/27/2019 8:00:02 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.5x","11/27/2019 9:00:02 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/27/2019 10:00:06 AM"
"VMware - Linux VMs","Success","0.02","0.03","1x","0.6x","11/27/2019 11:00:11 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/27/2019 12:00:17 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.6x","11/27/2019 1:00:01 PM"
"VMware - Linux VMs","Success","0.02","0.03","1x","0.6x","11/27/2019 2:00:08 PM"
"VMware - Linux VMs","Success","0.02","0.03","1x","0.8x","11/27/2019 3:00:14 PM"
"VMware - Linux VMs","Success","0.02","0.03","1x","0.8x","11/27/2019 4:00:23 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.5x","11/27/2019 5:00:02 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.5x","11/27/2019 6:00:03 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/27/2019 7:00:01 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.5x","11/27/2019 8:00:20 PM"
"VMware - Linux VMs","Success","0.02","0.03","1x","0.6x","11/27/2019 9:00:21 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.5x","11/27/2019 10:00:18 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/27/2019 11:00:15 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.5x","11/28/2019 12:00:12 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.5x","11/28/2019 1:00:07 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.5x","11/28/2019 2:00:04 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.3x","11/28/2019 3:00:05 AM"
"VMware - Linux VMs","Success","0.03","0.03","1x","1x","11/28/2019 4:00:01 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.5x","11/28/2019 5:00:19 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/28/2019 6:00:14 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.5x","11/28/2019 7:00:08 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/28/2019 8:00:02 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.5x","11/28/2019 9:00:19 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/28/2019 10:00:14 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/28/2019 11:00:08 AM"
"VMware - Linux VMs","Success","0.02","0.03","1x","0.6x","11/28/2019 12:00:21 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.6x","11/28/2019 1:00:12 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.5x","11/28/2019 2:00:03 PM"
"VMware - Linux VMs","Success","0.03","0.03","1x","0.9x","11/28/2019 3:00:16 PM"
"VMware - Linux VMs","Success","0.02","0.03","1x","0.8x","11/28/2019 4:00:07 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/28/2019 5:00:21 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.5x","11/28/2019 6:00:11 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/28/2019 7:00:03 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.5x","11/28/2019 8:00:16 PM"
"VMware - Linux VMs","Success","0.02","0.03","1x","0.6x","11/28/2019 9:00:06 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.3x","11/28/2019 10:00:20 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/28/2019 11:00:10 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.3x","11/29/2019 12:00:00 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/29/2019 1:00:13 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.5x","11/29/2019 2:00:04 AM"
"VMware - Linux VMs","Success","0","0.02","1x","0.2x","11/29/2019 3:00:18 AM"
"VMware - Linux VMs","Success","0.05","0.04","1x","1.4x","11/29/2019 4:00:09 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.5x","11/29/2019 5:00:22 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.5x","11/29/2019 6:00:13 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/29/2019 7:00:03 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/29/2019 8:00:15 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.3x","11/29/2019 9:00:04 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/29/2019 10:00:17 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.3x","11/29/2019 11:00:07 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/29/2019 12:00:21 PM"
"VMware - Linux VMs","Success","0.02","0.03","1x","0.7x","11/29/2019 1:00:12 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/29/2019 2:00:01 PM"
"VMware - Linux VMs","Success","0.02","0.03","1x","0.8x","11/29/2019 3:00:14 PM"
"VMware - Linux VMs","Success","0.02","0.03","1x","0.8x","11/29/2019 4:00:03 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.5x","11/29/2019 5:00:16 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.5x","11/29/2019 6:00:05 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.5x","11/29/2019 7:00:18 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.5x","11/29/2019 8:00:07 PM"
"VMware - Linux VMs","Success","0.02","0.03","1x","0.6x","11/29/2019 9:00:19 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/29/2019 10:00:09 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/29/2019 11:00:22 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/30/2019 12:00:11 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/30/2019 1:00:00 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.5x","11/30/2019 2:00:13 AM"
"VMware - Linux VMs","Success","0","0.02","1x","0.2x","11/30/2019 3:00:12 AM"
"VMware - Linux VMs","Success","0.03","0.03","1x","1x","11/30/2019 4:00:12 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.5x","11/30/2019 5:00:12 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/30/2019 6:00:12 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/30/2019 7:00:04 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/30/2019 8:00:16 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.5x","11/30/2019 9:00:05 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/30/2019 10:00:17 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/30/2019 11:00:06 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/30/2019 12:00:18 PM"
"VMware - Linux VMs","Success","0.02","0.02","1x","0.6x","11/30/2019 1:00:07 PM"
"VMware - Linux VMs","Success","0.02","0.03","1x","0.6x","11/30/2019 2:00:20 PM"
"VMware - Linux VMs","Success","0.02","0.03","1x","0.8x","11/30/2019 3:00:10 PM"
"VMware - Linux VMs","Success","0.02","0.03","1x","0.8x","11/30/2019 4:00:22 PM"
"VMware - Linux VMs","Success","0.01","0.03","1x","0.6x","11/30/2019 5:00:12 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/30/2019 6:00:02 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/30/2019 7:00:14 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.5x","11/30/2019 8:00:03 PM"
"VMware - Linux VMs","Success","0.02","0.03","1x","0.6x","11/30/2019 9:00:16 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/30/2019 10:00:05 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/30/2019 11:00:19 PM"
"VMware - Linux VMs","Success","0.04","0.04","1x","1.2x","12/1/2019 12:00:08 AM"
"VMware - Linux VMs","Success","0.02","0.03","1x","0.7x","12/1/2019 1:00:21 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.5x","12/1/2019 2:00:11 AM"
"VMware - Linux VMs","Success","0","0.02","1x","0.2x","12/1/2019 3:00:01 AM"
"VMware - Linux VMs","Success","0.05","0.04","1x","1.3x","12/1/2019 4:00:14 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.5x","12/1/2019 5:00:04 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","12/1/2019 6:00:16 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","12/1/2019 7:00:06 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","12/1/2019 8:00:18 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","12/1/2019 9:00:08 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","12/1/2019 10:00:21 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","12/1/2019 11:00:10 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","12/1/2019 12:00:23 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.6x","12/1/2019 1:00:13 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.5x","12/1/2019 2:00:02 PM"
"VMware - Linux VMs","Success","0.03","0.03","1x","0.9x","12/1/2019 3:00:15 PM"
"VMware - Linux VMs","Success","0.02","0.03","1x","0.8x","12/1/2019 4:00:05 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","12/1/2019 5:00:17 PM"
"VMware - Linux VMs","Success","0.02","0.03","1x","0.6x","12/1/2019 6:00:06 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","12/1/2019 7:00:18 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.5x","12/1/2019 8:00:07 PM"
"VMware - Linux VMs","Success","0.02","0.03","1x","0.6x","12/1/2019 9:00:21 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","12/1/2019 10:00:10 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","12/1/2019 11:00:00 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","12/2/2019 12:00:12 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.5x","12/2/2019 1:00:01 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.5x","12/2/2019 2:00:14 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.3x","12/2/2019 3:00:05 AM"
"VMware - Linux VMs","Success","0.05","0.04","1x","1.4x","12/2/2019 4:00:18 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.5x","12/2/2019 5:00:08 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","12/2/2019 6:00:22 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","12/2/2019 7:00:11 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.5x","12/2/2019 8:00:02 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","12/2/2019 9:00:14 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","12/2/2019 10:00:04 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","12/2/2019 11:00:19 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","12/2/2019 12:00:12 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.6x","12/2/2019 1:00:05 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.5x","12/2/2019 2:00:00 PM"
"VMware - Linux VMs","Success","0.02","0.03","1x","0.8x","12/2/2019 3:00:07 PM"
"VMware - Linux VMs","Success","0.02","0.03","1x","0.8x","12/2/2019 4:00:17 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","12/2/2019 5:00:22 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","12/2/2019 6:00:01 PM"
"VMware - Linux VMs","Success","0.01","0.03","1x","0.6x","12/2/2019 7:00:04 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.5x","12/2/2019 8:00:13 PM"
"VMware - Linux VMs","Success","0.02","0.03","1x","0.6x","12/2/2019 9:00:15 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","12/2/2019 10:00:01 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","12/2/2019 11:00:16 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","12/3/2019 12:00:05 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.5x","12/3/2019 1:00:15 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","12/3/2019 2:00:02 AM"
"VMware - Linux VMs","Success","0","0.02","1x","0.2x","12/3/2019 3:00:02 AM"
"VMware - Linux VMs","Success","0.05","0.04","1x","1.4x","12/3/2019 4:00:11 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.5x","12/3/2019 5:00:18 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","12/3/2019 6:00:21 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","12/3/2019 7:00:04 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","12/3/2019 8:00:16 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","12/3/2019 9:00:09 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","12/3/2019 10:00:12 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","12/3/2019 11:00:21 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","12/3/2019 12:00:14 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.6x","12/3/2019 1:00:00 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","12/3/2019 2:00:04 PM"
"VMware - Linux VMs","Success","0.02","0.03","1x","0.8x","12/3/2019 3:00:22 PM"
"VMware - Linux VMs","Success","0.02","0.03","1x","0.8x","12/3/2019 4:00:20 PM"
"VMware - Linux VMs","Success","0.02","0.03","1x","0.6x","12/3/2019 5:00:18 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","12/3/2019 6:00:19 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","12/3/2019 7:00:06 PM"
"VMware - Linux VMs","Success","0.02","0.03","1x","0.6x","12/3/2019 8:00:04 PM"
"VMware - Linux VMs","Failed","0","0","1x","1x","12/3/2019 9:00:33 PM"
"VMware - Linux VMs","Success","0.02","0.03","1x","0.6x","12/3/2019 10:00:21 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","12/3/2019 11:00:02 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","12/4/2019 12:00:11 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","12/4/2019 1:00:19 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.5x","12/4/2019 2:00:21 AM"
"VMware - Linux VMs","Success","0","0.02","1x","0.2x","12/4/2019 3:00:23 AM"
"VMware - Linux VMs","Success","0.03","0.03","1x","1x","12/4/2019 4:00:03 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.5x","12/4/2019 5:00:07 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","12/4/2019 6:00:11 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","12/4/2019 7:00:15 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","12/4/2019 8:00:23 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","12/4/2019 9:00:08 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","12/4/2019 10:00:08 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","12/4/2019 11:00:17 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","12/4/2019 12:00:21 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.6x","12/4/2019 1:00:08 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","12/4/2019 2:00:05 PM"
"VMware - Linux VMs","Success","0.02","0.03","1x","0.8x","12/4/2019 3:00:08 PM"
"VMware - Linux VMs","Success","0.02","0.03","1x","0.8x","12/4/2019 4:00:15 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","12/4/2019 5:00:21 PM"
"VMware - Linux VMs","Success","0.01","0.03","1x","0.6x","12/4/2019 6:00:17 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","12/4/2019 7:00:18 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.5x","12/4/2019 8:00:20 PM"
"VMware - Linux VMs","Success","0.02","0.03","1x","0.7x","12/4/2019 9:00:17 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","12/4/2019 10:00:12 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","12/4/2019 11:00:20 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","12/5/2019 12:00:09 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.5x","12/5/2019 1:00:22 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.5x","12/5/2019 2:00:11 AM"
"VMware - Linux VMs","Success","0","0.02","1x","0.2x","12/5/2019 3:00:02 AM"
"VMware - Linux VMs","Success","0.05","0.04","1x","1.4x","12/5/2019 4:00:08 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.5x","12/5/2019 5:00:14 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","12/5/2019 6:00:20 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","12/5/2019 7:00:02 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","12/5/2019 8:00:05 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","12/5/2019 9:00:15 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","12/5/2019 10:00:08 AM"
"VMware - Linux VMs","Warning","0.01","0.02","1x","0.4x","12/5/2019 11:00:00 AM"
"VMware - Linux VMs","Warning","0.01","0.02","1x","0.4x","12/5/2019 12:00:14 PM"
"VMware - Linux VMs","Warning","0.01","0.02","1x","0.6x","12/5/2019 1:00:07 PM"
"VMware - Linux VMs","Warning","0.01","0.02","1x","0.5x","12/5/2019 2:00:03 PM"
"VMware - Linux VMs","Warning","0.02","0.03","1x","0.8x","12/5/2019 3:00:04 PM"
